schütze,schützt,schützt,schützen,schützt,schützen
fühle,fühlst,fühlt,fühlen,fühlt,fühlen
diskutiere,diskutierst,diskutiert,diskutieren,diskutiert,diskutieren
tue,tust,tut,tun,tut,tun
bestätige,bestätigst,bestätigt,bestätigen,bestätigt,bestätigen
höre,hörst,hört,hören,hört,hören
erkenne,erkennst,erkennt,erkennen,erkennt,erkennen
wachse,wächst,wächst,wachsen,wachst,wachsen
achte,achtest,achtet,achten,achtet,achten
melde,meldest,meldet,melden,meldet,melden
sehe,siehst,sieht,sehen,seht,sehen
führe durch,führst durch,führt durch,führen durch,führt durch,führen durch
übernehme,übernimmst,übernimmt,übernehmen,übernehmt,übernehmen
biete an,bietest an,bietet an,bieten an,bietet an,bieten an
bestehe,bestehst,besteht,bestehen,besteht,bestehen
wähle,wählst,wählt,wählen,wählt,wählen
führe,führst,führt,führen,führt,führen
erkläre,erklärst,erklärt,erklären,erklärt,erklären
mag,magst,mag,mögen,mögt,mögen
informiere,informierst,informiert,informieren,informiert,informieren
setze,setzt,setzt,setzen,setzt,setzen
darf,darfst,darf,dürfen,dürft,dürfen
ändere,änderst,ändert,ändern,ändert,ändern
überzeuge,überzeugst,überzeugt,überzeugen,überzeugt,überzeugen
muss,musst,muss,müssen,müsst,müssen
bestelle,bestellst,bestellt,bestellen,bestellt,bestellen
funktioniere,funktionierst,funktioniert,funktionieren,funktioniert,funktionieren
warte,wartest,wartet,warten,wartet,warten
erlaube,erlaubst,erlaubt,erlauben,erlaubt,erlauben
kaufe,kaufst,kauft,kaufen,kauft,kaufen
eigne,eignest,eignet,eignen,eignet,eignen
gebe,gibst,gibt,geben,gebt,geben
sichere,sicherst,sichert,sichern,sichert,sichern
kenne,kennst,kennt,kennen,kennt,kennen
setze um,setzt um,setzt um,setzen um,setzt um,setzen um
weise,weist,weist,weisen,weist,weisen
nehme,nimmst,nimmt,nehmen,nehmt,nehmen
erlebe,erlebst,erlebt,erleben,erlebt,erleben
bestimme,bestimmst,bestimmt,bestimmen,bestimmt,bestimmen
zeige an,zeigst an,zeigt an,zeigen an,zeigt an,zeigen an
gehe,gehst,geht,gehen,geht,gehen
setze ein,setzt ein,setzt ein,setzen ein,setzt ein,setzen ein
sitze,sitzt,sitzt,sitzen,sitzt,sitzen
nenne,nennst,nennt,nennen,nennt,nennen
werde,wirst,wird,werden,werdet,werden
unterstütze,unterstützt,unterstützt,unterstützen,unterstützt,unterstützen
komme,kommst,kommt,kommen,kommt,kommen
gehöre,gehörst,gehört,gehören,gehört,gehören
ermögliche,ermöglichst,ermöglicht,ermöglichen,ermöglicht,ermöglichen
empfehle,empfiehlst,empfiehlt,empfehlen,empfehlt,empfehlen
baue auf,baust auf,baut auf,bauen auf,baut auf,bauen auf
besuche,besuchst,besucht,besuchen,besucht,besuchen
wirke,wirkst,wirkt,wirken,wirkt,wirken
soll,sollst,soll,sollen,sollt,sollen
verändere,veränderst,verändert,verändern,verändert,verändern
nutze,nutzt,nutzt,nutzen,nutzt,nutzen
gelinge,gelingst,gelingt,gelingen,gelingt,gelingen
koste,kostest,kostet,kosten,kostet,kosten
erreiche,erreichst,erreicht,erreichen,erreicht,erreichen
nehme auf,nimmst auf,nimmt auf,nehmen auf,nehmt auf,nehmen auf
betrage,beträgst,beträgt,betragen,betragt,betragen
entdecke,entdeckst,entdeckt,entdecken,entdeckt,entdecken
sorge,sorgst,sorgt,sorgen,sorgt,sorgen
weiß,weißt,weiß,wissen,wisst,wissen
öffne,öffnest,öffnet,öffnen,öffnet,öffnen
verbessere,verbesserst,verbessert,verbessern,verbessert,verbessern
gelte,giltst,gilt,gelten,geltet,gelten
lade,lädst,lädt,laden,ladet,laden
betreffe,betriffst,betrifft,betreffen,betrefft,betreffen
baue,baust,baut,bauen,baut,bauen
erscheine,erscheinst,erscheint,erscheinen,erscheint,erscheinen
entferne,entfernst,entfernt,entfernen,entfernt,entfernen
will,willst,will,wollen,wollt,wollen
spare,sparst,spart,sparen,spart,sparen
passe,passt,passt,passen,passt,passen
verbinde,verbindest,verbindet,verbinden,verbindet,verbinden
genieße,genießt,genießt,genießen,genießt,genießen
lasse,lässt,lässt,lassen,lasst,lassen
enthalte,enthältst,enthält,enthalten,enthaltet,enthalten
betreibe,betreibst,betreibt,betreiben,betreibt,betreiben
beachte,beachtest,beachtet,beachten,beachtet,beachten
erstelle,erstellst,erstellt,erstellen,erstellt,erstellen
wünsche,wünschst,wünscht,wünschen,wünscht,wünschen
spiele,spielst,spielt,spielen,spielt,spielen
passiere,passierst,passiert,passieren,passiert,passieren
verfüge,verfügst,verfügt,verfügen,verfügt,verfügen
geschehe,geschiehst,geschieht,geschehen,gescheht,geschehen
laufe,läufst,läuft,laufen,lauft,laufen
entscheide,entscheidest,entscheidet,entscheiden,entscheidet,entscheiden
bewege,bewegst,bewegt,bewegen,bewegt,bewegen
bedeute,bedeutest,bedeutet,bedeuten,bedeutet,bedeuten
erwarte,erwartest,erwartet,erwarten,erwartet,erwarten
zähle,zählst,zählt,zählen,zählt,zählen
spreche,sprichst,spricht,sprechen,sprecht,sprechen
plane,planst,plant,planen,plant,planen
vergesse,vergisst,vergisst,vergessen,vergesst,vergessen
gestalte,gestaltest,gestaltet,gestalten,gestaltet,gestalten
lebe,lebst,lebt,leben,lebt,leben
entspreche,entsprichst,entspricht,entsprechen,entsprecht,entsprechen
erzähle,erzählst,erzählt,erzählen,erzählt,erzählen
befinde,befindest,befindet,befinden,befindet,befinden
bezeichne,bezeichnest,bezeichnet,bezeichnen,bezeichnet,bezeichnen
zahle,zahlst,zahlt,zahlen,zahlt,zahlen
starte,startest,startet,starten,startet,starten
verkaufe,verkaufst,verkauft,verkaufen,verkauft,verkaufen
gewinne,gewinnst,gewinnt,gewinnen,gewinnt,gewinnen
reiche,reichst,reicht,reichen,reicht,reichen
entstehe,entstehst,entsteht,entstehen,entsteht,entstehen
beginne,beginnst,beginnt,beginnen,beginnt,beginnen
fahre,fährst,fährt,fahren,fahrt,fahren
beziehe,beziehst,bezieht,beziehen,bezieht,beziehen
lege,legst,legt,legen,legt,legen
zeige,zeigst,zeigt,zeigen,zeigt,zeigen
finde statt,findest statt,findet statt,finden statt,findet statt,finden statt
verlasse,verlässt,verlässt,verlassen,verlasst,verlassen
glaube,glaubst,glaubt,glauben,glaubt,glauben
richte,richtest,richtet,richten,richtet,richten
entwickle; entwickele,entwickelst,entwickelt,entwickeln,entwickelt,entwickeln
begleite,begleitest,begleitet,begleiten,begleitet,begleiten
falle,fällst,fällt,fallen,fallt,fallen
biete,bietest,bietet,bieten,bietet,bieten
leiste,leistest,leistet,leisten,leistet,leisten
ziehe,ziehst,zieht,ziehen,zieht,ziehen
verliere,verlierst,verliert,verlieren,verliert,verlieren
stehe,stehst,steht,stehen,steht,stehen
gründe,gründest,gründet,gründen,gründet,gründen
rufe,rufst,ruft,rufen,ruft,rufen
erfahre,erfährst,erfährt,erfahren,erfahrt,erfahren
behandle; behandele,behandelst,behandelt,behandeln,behandelt,behandeln
fehle,fehlst,fehlt,fehlen,fehlt,fehlen
bilde,bildest,bildet,bilden,bildet,bilden
lerne,lernst,lernt,lernen,lernt,lernen
vermittle; vermittele,vermittelst,vermittelt,vermitteln,vermittelt,vermitteln
steige,steigst,steigt,steigen,steigt,steigen
sage,sagst,sagt,sagen,sagt,sagen
halte,hältst,hält,halten,haltet,halten
erfolge,erfolgst,erfolgt,erfolgen,erfolgt,erfolgen
bekomme,bekommst,bekommt,bekommen,bekommt,bekommen
feiere,feierst,feiert,feiern,feiert,feiern
bitte,bittest,bittet,bitten,bittet,bitten
lese,liest,liest,lesen,lest,lesen
veröffentliche,veröffentlichst,veröffentlicht,veröffentlichen,veröffentlicht,veröffentlichen
handle; handele,handelst,handelt,handeln,handelt,handeln
stelle,stellst,stellt,stellen,stellt,stellen
sammle; sammele,sammelst,sammelt,sammeln,sammelt,sammeln
erfülle,erfüllst,erfüllt,erfüllen,erfüllt,erfüllen
benötige,benötigst,benötigt,benötigen,benötigt,benötigen
finde,findest,findet,finden,findet,finden
liebe,liebst,liebt,lieben,liebt,lieben
bleibe,bleibst,bleibt,bleiben,bleibt,bleiben
verstehe,verstehst,versteht,verstehen,versteht,verstehen
suche,suchst,sucht,suchen,sucht,suchen
heiße,heißt,heißt,heißen,heißt,heißen
schaffe,schaffst,schafft,schaffen,schafft,schaffen
ergebe,ergibst,ergibt,ergeben,ergebt,ergeben
benutze,benutzt,benutzt,benutzen,benutzt,benutzen
folge,folgst,folgt,folgen,folgt,folgen
brauche,brauchst,braucht,brauchen,braucht,brauchen
liefere,lieferst,liefert,liefern,liefert,liefern
versuche,versuchst,versucht,versuchen,versucht,versuchen
teile,teilst,teilt,teilen,teilt,teilen
schaue,schaust,schaut,schauen,schaut,schauen
helfe,hilfst,hilft,helfen,helft,helfen
berichte,berichtest,berichtet,berichten,berichtet,berichten
erhalte,erhältst,erhält,erhalten,erhaltet,erhalten
fordere,forderst,fordert,fordern,fordert,fordern
bringe,bringst,bringt,bringen,bringt,bringen
liege,liegst,liegt,liegen,liegt,liegen
vertrete,vertrittst,vertritt,vertreten,vertretet,vertreten
trage,trägst,trägt,tragen,tragt,tragen
stelle her,stellst her,stellt her,stellen her,stellt her,stellen her
scheine,scheinst,scheint,scheinen,scheint,scheinen
beschäftige,beschäftigst,beschäftigt,beschäftigen,beschäftigt,beschäftigen
erhöhe,erhöhst,erhöht,erhöhen,erhöht,erhöhen
stelle dar,stellst dar,stellt dar,stellen dar,stellt dar,stellen dar
löse,löst,löst,lösen,löst,lösen
fordere,forderst,fordert,fordern,fordert,fordern
verwende,verwendest,verwendet,verwenden,verwendet,verwenden
treffe,triffst,trifft,treffen,trefft,treffen
hoffe,hoffst,hofft,hoffen,hofft,hoffen
schlage,schlägst,schlägt,schlagen,schlagt,schlagen
beschreibe,beschreibst,beschreibt,beschreiben,beschreibt,beschreiben
erinnere,erinnerst,erinnert,erinnern,erinnert,erinnern
denke,denkst,denkt,denken,denkt,denken
mache,machst,macht,machen,macht,machen
frage,fragst,fragt,fragen,fragt,fragen
stelle vor,stellst vor,stellt vor,stellen vor,stellt vor,stellen vor
trete,trittst,tritt,treten,tretet,treten
besitze,besitzt,besitzt,besitzen,besitzt,besitzen
diene,dienst,dient,dienen,dient,dienen
freue,freust,freut,freuen,freut,freuen
meine,meinst,meint,meinen,meint,meinen
schließe,schließt,schließt,schließen,schließt,schließen
